Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;OrdenEntidad;Entidad Centralizada;ID del Proceso;Referencia del Proceso;PCI;ID del Portafolio;Nombre del Procedimiento;Descripción del Procedimiento;Fase;Fecha de Publicacion del Proceso;Fecha de Ultima Publicación;Fecha de Publicacion (Fase Planeacion Precalificacion);Fecha de Publicacion (Fase Seleccion Precalificacion);Fecha de Publicacion (Manifestacion de Interes);Fecha de Publicacion (Fase Borrador);Fecha de Publicacion (Fase Seleccion);Precio Base;Modalidad de Contratacion;Justificación Modalidad de Contratación;Duracion;Unidad de Duracion;Fecha de Recepcion de Respuestas;Fecha de Apertura de Respuesta;Fecha de Apertura Efectiva;Ciudad de la Unidad de Contratación;Nombre de la Unidad de Contratación;Proveedores Invitados;Proveedores con Invitacion Directa;Visualizaciones del Procedimiento;Proveedores que Manifestaron Interes;Respuestas al Procedimiento;Respuestas Externas;Conteo de Respuestas a Ofertas;Proveedores Unicos con Respuestas;Numero de Lotes;Estado del Procedimiento;ID Estado del Procedimiento;Adjudicado;ID Adjudicacion;CodigoProveedor;Departamento Proveedor;Ciudad Proveedor;Fecha Adjudicacion;Valor Total Adjudicacion;Nombre del Adjudicador;Nombre del Proveedor Adjudicado;NIT del Proveedor Adjudicado;Codigo Principal de Categoria;Estado de Apertura del Proceso;Tipo de Contrato;Subtipo de Contrato;Categorias Adicionales;URLProceso;Codigo Entidad;Estado Resumen
ALCALDIA MUNICIPIO DE DOSQUEBRADAS;800099310;Risaralda;Dosquebradas;Territorial;Centralizada;CO1.REQ.7138900;CI-1955-2024;704187608;CO1.BDOS.7005742;"AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; FINANCIEROS; ORGANIZACIONALES Y LOGÍSTICOS PARA EL DESARROLLO DE LAS ACTIVIDADES  Y MANIFESTACIONES CULTURALES; ARTÍSTICAS; DEPORTIVAS; SOCIALES INSTITUCION";AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS, ORGANIZACIONALES Y LOGÍSTICOS PARA EL DESARROLLO DE LAS ACTIVIDADES  Y MANIFESTACIONES CULTURALES, ARTÍSTICAS, DEPORTIVAS, SOCIALES INSTITUCIONALES Y/O DE PROMOCIÓN DEL TURISMO EN EL MUNICIPIO DE DOSQUEBRADAS;Presentación de oferta;;;;;;;;2,618,632,663;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);43;día(s);11/18/2024;;11/16/2024;Dosquebradas;SECRETARÍA DE ASUNTOS ADMINISTRATIVOS;1;1;1;0;1;0;0;1;0;Cancelado;100;Si;CO1.AWD.2090153;710427048;Valle del Cauca;Cali;11/18/2024;2,618,632,663;DIANA CRISTINA LARGO TABORDA;FONPACIFICO;901039684;V1.93141701;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7060677;704,187,608;Adjudicado
ALCALDÍA DE VILLAGARZON;800054249;Putumayo;Villagarzón;Territorial;Descentralizada;CO1.REQ.5372182;SPIM-CDCI-002-2023;708723937;CO1.BDOS.5255552;AUNAR ESFUERZOS TÉCNICOS ADMINISTRATIVOS Y FINANCIEROS PARA LA EJECUCIÓN DEL PROYECTOS CONSTRUCCIÓN DE REDES DE MEDIA TENSIÓN TRANSFORMACIÓN Y REDES DE BAJA TENSIÓN PARA LAS VEREDAS DE CANANGUC;AUNAR ESFUERZOS TÉCNICOS  ADMINISTRATIVOS Y FINANCIEROS PARA LA EJECUCIÓN DE LOS PROYECTOS CONSTRUCCIÓN DE REDES DE MEDIA TENSIÓN  TRANSFORMACIÓN Y REDES DE BAJA TENSIÓN PARA LAS VEREDAS DE CANANGUCHO Y VILLASANTANA VILLAGARZÓN;Presentación de oferta;12/01/2023;12/01/2023;;;;;12/01/2023;353,606,532;Contratación directa;Contratos o convenios Interadministrativos (valor cero);1;Mes(es);;;;Villagarzón;CONTRATACION;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.39101600;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5269217;708,723,937;Adjudicado
MUNICIPIO  DE PIJAO;890001181;Quindío;Pijao;Territorial;Centralizada;CO1.REQ.7252368;CONVENIO INTERADMINISTRATIVO No. 005 DE 2024;705278018;CO1.BDOS.7116175;"AUNAR ESFUERZOS ADMINISTRATIVOS; TÉCNICOS Y OPERATIVOS PARA LA ORGANIZACIÓN DE LAS ACTIVIDADES DECEMBRINAS A REALIZARSE EN EL MUNICIPIO DE PIJAO; QUINDÍO EN EL AÑO 2024";AUNAR ESFUERZOS ADMINISTRATIVOS, TÉCNICOS Y OPERATIVOS PARA LA ORGANIZACIÓN DE LAS ACTIVIDADES DECEMBRINAS A REALIZARSE EN EL MUNICIPIO DE PIJAO, QUINDÍO EN EL AÑO 2024;Presentación de oferta;11/29/2024;11/29/2024;;;;;11/29/2024;80,000,000;Contratación directa;Contratos o convenios Interadministrativos (valor cero);0;día(s);;;;Pijao;GOBIERNO;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.93141701;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7133973;705,278,018;Adjudicado
ALCALDIA MUNICIPIO DE DOSQUEBRADAS;800099310;Risaralda;Dosquebradas;Territorial;Centralizada;CO1.REQ.7214922;CI-2040-2024;704187608;CO1.BDOS.7080011;"AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; FINANCIEROS; ORGANIZACIONALES Y LOGÍSTICOS PARA EL DESARROLLO DE LAS ACTIVIDADES  Y MANIFESTACIONES CULTURALES; ARTÍSTICAS; DEPORTIVAS; SOCIALES INSTITUCIONA";AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS, ORGANIZACIONALES Y LOGÍSTICOS PARA EL DESARROLLO DE LAS ACTIVIDADES  Y MANIFESTACIONES CULTURALES, ARTÍSTICAS, DEPORTIVAS, SOCIALES INSTITUCIONALES Y/O DE PROMOCIÓN DEL TURISMO EN EL MUNICIPIO DE DOSQUEBRADAS;Presentación de oferta;;;;;;;;2,618,632,663;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);38;día(s);11/22/2024;;11/22/2024;Dosquebradas;SECRETARÍA DE ASUNTOS ADMINISTRATIVOS;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.2096649;710427048;Valle del Cauca;Cali;11/22/2024;2,618,632,663;DIANA CRISTINA LARGO TABORDA;FONPACIFICO;901039684;V1.93141701;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7095121;704,187,608;Adjudicado
ALCALDIA MUNICIPIO DE DOSQUEBRADAS;800099310;Risaralda;Dosquebradas;Territorial;Centralizada;CO1.REQ.7214922;CI-2040-2024;704187608;CO1.BDOS.7080011;"AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; FINANCIEROS; ORGANIZACIONALES Y LOGÍSTICOS PARA EL DESARROLLO DE LAS ACTIVIDADES  Y MANIFESTACIONES CULTURALES; ARTÍSTICAS; DEPORTIVAS; SOCIALES INSTITUCIONA";AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS, ORGANIZACIONALES Y LOGÍSTICOS PARA EL DESARROLLO DE LAS ACTIVIDADES  Y MANIFESTACIONES CULTURALES, ARTÍSTICAS, DEPORTIVAS, SOCIALES INSTITUCIONALES Y/O DE PROMOCIÓN DEL TURISMO EN EL MUNICIPIO DE DOSQUEBRADAS;Presentación de oferta;;;;;;;;2,618,632,663;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);38;día(s);11/22/2024;;11/22/2024;Dosquebradas;SECRETARÍA DE ASUNTOS ADMINISTRATIVOS;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.2096649;710427048;Valle del Cauca;Cali;11/22/2024;2,618,632,663;DIANA CRISTINA LARGO TABORDA;FONPACIFICO;901039684;V1.93141701;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7095121;704,187,608;Adjudicado
MUNICIPIO DE LA UNION;891901109;Valle del Cauca;La Unión;Territorial;Centralizada;CO1.REQ.3297493;CONVENIO-004-2022;704260173;CO1.BDOS.3211473;CONVENIO-004-2022;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS CON EL FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL  FONPACÍFICO  PARA EL FORTALECIMIENTO DE LAS CAPACIDADES INSTITUCIONALES EN GESTIÓN DOCUMENTAL, DEL PLAN ESTRATÉGICO DE SEGURIDAD VIAL Y POLÍTICAS CONTABLES DEL MUNICIPIO DE LA UNIÓN VALLE;Presentación de oferta;08/30/2022;08/30/2022;;;;;08/30/2022;205,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);4;Mes(es);08/31/2022;;08/30/2022;La Unión;DEPARTAMENTO JURÍDICO;1;1;1;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.1405966;710427048;Valle del Cauca;Cali;08/30/2022;237,000,000;Ricardo Andres Hernandez Gomez;FONPACIFICO;901039684;V1.93151507;Abierto;Otro;No Definido;V180161500;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3214055;704,260,173;Adjudicado
MUNICIPIO DE PRADERA;891380115;Valle del Cauca;Pradera;Territorial;Descentralizada;CO1.REQ.3716600;CI 110-16-02-03.2022;702580812;CO1.BDOS.3620961;"AUNAR ESFUERZOS Y RECURSOS ADMINISTRATIVOS; TECNICOS Y FINANCIEROS EN EL MARCO DEL PROGRAMA DE INTERES PUBLICO DENOMINADO: ALIANZA PAZ PACIFICO - CAPITULO PRADERA PARA LA VIABILIZACION Y EJECUCION DE";AUNAR ESFUERZOS Y RECURSOS ADMINISTRATIVOS, TECNICOS Y FINANCIEROS EN EL MARCO DEL PROGRAMA DE INTERES PUBLICO DENOMINADO: ALIANZA PAZ PACIFICO - CAPITULO PRADERA PARA LA VIABILIZACION Y EJECUCION DE PROYECTO DE INVERSION QUE COMPRENDE OBRAS EN LA ZONA URBANA Y RURAL;Presentación de oferta;12/09/2022;12/09/2022;;;;;12/09/2022;1,435,921,121;Contratación directa;Contratos o convenios Interadministrativos (valor cero);22;día(s);;;;Pradera;GESTION CONTRACTUAL 2;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.72141120;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3630210;702,580,812;Adjudicado
MUNICIPIO DE FLORENCIA;800095728;Caquetá;Florencia;Territorial;Centralizada;CO1.REQ.4405694;CD-OAJC-452-2023;704035211;CO1.BDOS.4305961;"AUNAR ESFUERZOS Y RECURSOS ADMINISTRATIVOS; FINANCIEROS Y TÉCNICOS PARA DESARROLLAR EN EL MARCO DEL PROGRAMA DE INTERES PÚBLICO DENOMINADO: ALIANZA DE PAZ PACIFICO CAPITULO FLORENCIA CAQUETA PARA EL";AUNAR ESFUERZOS Y RECURSOS ADMINISTRATIVOS, FINANCIEROS Y TÉCNICOS PARA DESARROLLAR EN EL MARCO DEL PROGRAMA DE INTERES PÚBLICO DENOMINADO: ALIANZA DE PAZ PACIFICO CAPITULO FLORENCIA CAQUETA PARA EL DESARROLLO DE LOS PROYECTOS DE INVERSION QUE COMPRENDE LA CONSTRUCCION DE PLAZOLETA A UN COSTADO DEL NUEVO PUENTE VEHICULAR SOBRE LA QUEBRADA LA PERDIZ EN LA AVENIDA BRUNO DEL PIERO DEL MUNICIPIO DE FLORENCIA Y LA CONSTRUCCION DE ANDENES PEATONALES CON ALUMBRADO PUBLICO Y MANTENIMIENTO DE PUENTES P;Presentación de oferta;04/18/2023;04/18/2023;;;;;04/18/2023;2,565,241,556;Contratación directa;Contratos o convenios Interadministrativos (valor cero);6;Mes(es);;;;Florencia;G.I.T. Contratación;0;0;0;0;0;0;0;0;0;Seleccionado;70;No;No Adjudicado;710427048;Valle del Cauca;Cali;;0;No Adjudicado;FONPACIFICO;901039684;V1.72103300;Abierto;Otro;No Definido;V172152700, V181101500;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4308985;704,035,211;Adjudicado
MUNICIPIO CANDELARIA;891380038;Valle del Cauca;Candelaria;Territorial;Centralizada;CO1.REQ.2453777;MDC-SPE-CDCO-003-2021;701400236;CO1.BDOS.2381165;CONVENIO INTERADMINISTRATIVO ENTRE EL MUNICIPIO DE CANDELARIA Y FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;CONVENIO INTERADMINISTRATIVO ENTRE EL MUNICIPIO DE CANDELARIA Y FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO PARA AUNAR ESFUERZOS TÉNICOS, FINANCIEROS Y HUMANOS, EN LA IMPLEMENTACIÓN DEL PROYECTO FORTALECIMIENTO DEL DERECHO AL JUEGO Y LA RECREACIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES DE ACUERDO A LA LEY 1098 DEL 2006, EN EL MUNICIPIO DE CANDELARIA EN EL MARCO DEL SUBPROGRAMA GARANTIZAR EL DERECHO AL JUEGO Y LA RECREACIÓN DE NNA.;Presentación de oferta;11/12/2021;11/12/2021;;;;;11/12/2021;250,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);0;día(s);11/12/2021;;11/12/2021;Candelaria;SECRETARIA DE DESARROLLO SOCIAL Y PARTICIPACION;1;1;1;0;1;1;0;0;0;Seleccionado;70;Si;CO1.AWD.1171821;710427048;Valle del Cauca;Cali;11/12/2021;250,000,000;ELVAR SANTIAGO URIBE CALDERON;FONPACIFICO;901039684;V1.60124515;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2391094;701,400,236;Adjudicado
MUNICIPIO DE CARTAGO;891900493;Valle del Cauca;Cartago;Territorial;Centralizada;CO1.REQ.7264738;11-044-2024;704960004;CO1.BDOS.7129146;CONVENIO REALIZACIÓN DE DIPLOMADO DE ACTUALIZACIÓN EN NORMATIVIDAD DE TRANSPORTE Y PROCESO SANCIONATORIO EN COLOMBIA;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, FINANCIEROS Y HUMANOS CON LA ALCALDÍA MUNICIPAL DE CARTAGO PARA APOYAR A LA SECRETARIA DE MOVILIDAD Y TRANSPORTE DE CARTAGO EN LA REALIZACIÓN DE DIPLOMADO DE ACTUALIZACIÓN EN NORMATIVIDAD DE TRANSPORTE Y PROCESO SANCIONATORIO EN COLOMBIA;Presentación de oferta;;;;;;;;66,000,000;Contratación Directa (con ofertas);Contratos o convenios Interadministrativos (con valor);0;día(s);12/04/2024;;12/03/2024;Cartago;UNIDAD DE CONTRATACIÒN ALCALDÌA DE CARTAGO;2,021;1;2;0;1;0;0;1;0;Seleccionado;70;Si;CO1.AWD.2113683;710427048;Valle del Cauca;Cali;12/04/2024;66,000,000;ADAMILA DEL PILAR JARAMILLO RIOS;FONPACIFICO;901039684;V1.80111600;Abierto;Otro;No Definido;No definido;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7150553;704,960,004;Adjudicado
