Vigencia Presupuestal;Identificación de la Entidad;Nombre de la Entidad;NIT del Ejecutor del proyecto de Inversión;Identificación del proyecto de Inversión;Nombre del proyecto de Inversión;Código del recurso presupuestal;Descripción del recurso presupuestal;Código del Fondo;Descripción del Fondo;Fecha de registro;Estado;Causal de No Validación;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;Meses Posteriores
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00PI-4301-1604-2023-86001-0041;CONSTRUCCIÓN DE CANCHA MULTIUSOS CON CUBIERTA EN LA VEREDA QUINCE DE MAYO DEL MUNICIPIO DE MOCOA DEPARTAMENTO DEL PUTUMAYO;PI86001;INCENTIVOS A LA PROD. PAZ - MOCOA - PUTUMAYO;IPAZ;INCENTIVOS A LA PRODUCCION MINERA - APROBADOS POR OCAD PAZ;2025-01-16 09:45:54;Validado;;510529630,85;35747798,50;1639445107,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AD-4002-1400-2023-19142-0111;CONSTRUCCIÓN URBANISMO PLAZA DE MERCADO MUNICIPIO DE CALOTO DEPARTAMENTO DEL CAUCA;AD19142;ASIGNACIONES DIRECTAS - CALOTO - CAUCA;ADIR;ASIGNACIONES DIRECTAS;2025-01-16 09:49:47;Validado;;0,00;0,00;39170536,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AD-2201-0700-2023-41001-0110;CONSTRUCCIÓN Y ADECUACIÓN DE INFRAESTRUCTURA EDUCATIVA EN LA ZONA RURAL DEL MUNICIPIO DE NEIVA;AD41001;ASIGNACIONES DIRECTAS - NEIVA - HUILA;ADIR;ASIGNACIONES DIRECTAS;2025-01-16 09:50:39;Registrado;;0,00;0,00;194897480,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AD-4003-1400-2024-41524-0008;OPTIMIZACIÓN DE REDES DE SERVICIOS PÚBLICOS DE ALCANTARILLADO SANITARIO ACUEDUCTO Y PAVIMENTACIÓN EN LA URBANIZACIÓN FRONTERA NORTE DE LA JURISDICCIÓN DE AMBORCO Y ZONA URBANA DEL MUNICIPIO DE PALERMO HUILA;AD41524;ASIGNACIONES DIRECTAS - PALERMO - HUILA;ADIR;ASIGNACIONES DIRECTAS;2025-01-16 09:51:04;Validado;;0,00;0,00;203780918,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AD-3301-1603-2023-86001-0139;FORTALECIMIENTO DEL INTERCAMBIO CULTURAL DE LA COMUNIDAD INDÍGENA INGA MUSURRUNAKUNA MEDIANTE LA CONSTRUCCIÓN DE LA CASA CABILDO EN EL MUNICIPIO DE MOCOA;AD86001;ASIGNACIONES DIRECTAS - MOCOA - PUTUMAYO;ADIR;ASIGNACIONES DIRECTAS;2025-01-16 09:51:54;Registrado;;0,00;0,00;20510403,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AD-4302-1604-2024-86001-0088;FORTALECIMIENTO DE LA RECREACIÓN Y EL DEPORTE MEDIANTE LA CONSTRUCCIÓN DE PARQUE RECREATIVO Y EL MEJORAMIENTO DE LOS ESPACIOS DEPORTIVOS EN LA VEREDA LA TEBAIDA DEL MUNICIPIO DE MOCOA DEPARTAMENTO DEL PUTUMAYO;AD86001;ASIGNACIONES DIRECTAS - MOCOA - PUTUMAYO;ADIR;ASIGNACIONES DIRECTAS;2025-01-16 09:53:49;Validado;;0,00;499971074,16;189610315,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-1905-0300-2023-00618-0038;CONSTRUCCIÓN DE LA SECRETARIA DE SALUD DEL DEPARTAMENTO DEL CAQUETÁ;AR18000;AIR - CAQUETÁ;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-01-16 11:23:58;Validado;;0,00;2586406297,80;3743019732,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-19573-0023;PAVIMENTACIÓN DE VÍAS DEL BARRIO HIPODROMO EN EL MUNICIPIO DE PUERTO TEJADA;IL19573;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT PUERTO TEJADA - CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-17 17:00:08;Validado;;0,00;0,00;179422744,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2022-19573-0041;CONSTRUCCIÓN DE PAVIMENTOS FLEXIBLES Y OBRAS COMPLEMENTARIAS EN VIAS URBANAS DEL MUNICIPIO DE PUERTO TEJADA;IL19573;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT PUERTO TEJADA - CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-17 17:09:49;Validado;;0,00;0,00;260388165,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-19142-0056;MEJORAMIENTO DE VÍAS TERCIARIAS EN EL MUNICIPIO DE CALOTO CAUCA;IL19142;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT CALOTO - CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-20 09:11:50;Validado;;0,00;3429953,10;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
